,estimators,min_samples_split,min_samples_leaf,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
233,100,4,4,sqrt,0.952083887917964,0.9587628865979382,0.9454288723510145,,
234,100,4,4,sqrt,0.9514936169720258,0.9518900343642611,0.945683499033576,,
235,100,4,4,sqrt,0.9517598175947037,0.9450171821305842,0.9456950729736925,,
236,100,4,4,sqrt,0.9517366697144709,0.9495990836197021,0.9457992384347403,,
237,100,4,4,sqrt,0.9519912963970324,0.9381443298969072,0.9458571081353225,,
238,100,4,4,sqrt,0.9520144442772653,0.9450171821305842,0.9456024814527609,,
239,100,4,4,sqrt,0.9519218527563338,0.9473081328751431,0.9459034038957882,,
240,100,4,4,sqrt,0.9517598175947037,0.9518900343642611,0.9459034038957882,,
241,100,4,4,sqrt,0.9518176872952859,0.9495990836197021,0.9459034038957882,,
242,100,4,4,sqrt,0.9519102788162174,0.9438717067583047,0.945868682075439,,
243,100,4,4,sqrt,0.9519681485167996,0.9404352806414662,0.9457529426742746,,
244,100,4,4,sqrt,0.951898704876101,0.9495990836197021,0.9456024814527609,,
245,100,4,4,sqrt,0.9518871309359845,0.9404352806414662,0.9457760905545075,,
246,100,4,4,sqrt,0.9521070357981968,0.9473081328751431,0.9456140553928774,,
247,100,4,4,sqrt,0.9518408351755188,0.9381443298969072,0.945683499033576,,
248,100,4,4,sqrt,0.9517713915348202,0.9450171821305842,0.9458108123748568,,
249,100,4,4,sqrt,0.9518871309359845,0.9392898052691867,0.9460770129975348,,
250,100,4,4,sqrt,0.952083887917964,0.9461626575028637,0.9458802560155554,,
251,100,4,4,sqrt,0.9518524091156353,0.9450171821305842,0.9458455341952061,,
252,100,4,4,sqrt,0.9516903739540051,0.9507445589919816,0.9458108123748568,,
253,100,4,4,sqrt,0.9518639830557517,0.9415807560137457,0.9459265517760211,,
254,100,4,4,sqrt,0.9518408351755188,0.9507445589919816,0.9455793335725281,,
255,100,4,4,sqrt,0.9521533315586626,0.9404352806414662,0.9456140553928774,,
256,100,4,4,sqrt,0.9518524091156353,0.9541809851088202,0.9458108123748568,,
257,100,4,4,sqrt,0.9516672260737723,0.9450171821305842,0.9457413687341581,,
258,100,4,4,sqrt,0.9518524091156353,0.9461626575028637,0.9454057244707816,,
259,100,4,4,sqrt,0.9518176872952859,0.9369988545246277,0.9458571081353225,,
260,100,4,4,sqrt,0.9518061133551695,0.9438717067583047,0.9455214638719459,,
261,100,4,4,sqrt,0.9521533315586626,0.9553264604810997,0.9460538651173018,,
262,100,4,4,sqrt,0.9520491660976146,0.9473081328751431,0.9459149778359047,,
263,100,4,4,sqrt,0.9518524091156353,0.9473081328751431,0.9457760905545075,,
264,100,4,4,sqrt,0.9518061133551695,0.9518900343642611,0.9457413687341581,,
265,100,4,4,sqrt,0.9517366697144709,0.9438717067583047,0.9458455341952061,,
266,100,4,4,sqrt,0.9518871309359845,0.9564719358533792,0.9458571081353225,,
267,100,4,4,sqrt,0.9521070357981968,0.9381443298969072,0.946030717237069,,
268,100,4,4,sqrt,0.9518524091156353,0.9369988545246277,0.9458223863149732,,
269,100,4,4,sqrt,0.9517713915348202,0.9484536082474226,0.9455677596324117,,
270,100,4,4,sqrt,0.9520144442772653,0.9450171821305842,0.945868682075439,,
271,100,4,4,sqrt,0.9517135218342381,0.9484536082474226,0.945683499033576,,
272,100,4,4,sqrt,0.9517945394150531,0.9530355097365406,0.9454983159917131,,
273,100,4,4,sqrt,0.9516093563731901,0.9473081328751431,0.9457529426742746,,
274,100,4,4,sqrt,0.9519455568158145,0.9461009174311926,0.9454757991713155,,
275,100,4,4,sqrt,0.9519108353973288,0.9403669724770642,0.9459387514177913,,
276,100,4,4,sqrt,0.9518761139788431,0.9415137614678899,0.9456494062637439,,
277,100,4,4,sqrt,0.9518529663665193,0.9495412844036697,0.9457304229068771,,
278,100,4,4,sqrt,0.9519455568158145,0.948394495412844,0.9460313418670864,,
279,100,4,4,sqrt,0.9519339830096526,0.9403669724770642,0.9456262586514201,,
280,100,4,4,sqrt,0.9518182449480336,0.9472477064220184,0.9457188491007152,,
281,100,4,4,sqrt,0.951887687785005,0.948394495412844,0.9457651443253628,,
282,100,4,4,sqrt,0.9519802782343001,0.9472477064220184,0.9459850466424389,,
