,estimators,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
185,2,sqrt,0.9500590264114257,0.9288990825688074,0.8887872965903567,,
186,2,sqrt,0.9505335524640633,0.9334862385321101,0.8909863197611166,,
187,2,sqrt,0.951112242772158,0.9334862385321101,0.8889840512951089,,
188,2,sqrt,0.9513205712830721,0.9357798165137615,0.8891345107752135,,
189,2,sqrt,0.9510312261290248,0.948394495412844,0.8888220180088424,,
190,2,sqrt,0.9498738455128354,0.9369266055045872,0.8892155274183468,,
191,2,sqrt,0.9496307955834355,0.9346330275229358,0.8886947061410615,,
192,2,sqrt,0.9511469641906437,0.944954128440367,0.8901993009421079,,
193,2,sqrt,0.9507650285873013,0.9369266055045872,0.8885789680794426,,
194,2,sqrt,0.9496655170019213,0.944954128440367,0.8881044420268049,,
195,2,sqrt,0.9507650285873013,0.948394495412844,0.8885905418856045,,
196,2,sqrt,0.9506724381380061,0.9311926605504587,0.8886599847225759,,
197,2,sqrt,0.9507534547811394,0.9426605504587156,0.8893196916738039,,
198,2,sqrt,0.9499432883498067,0.9369266055045872,0.889076641744404,,
199,2,sqrt,0.9493183028170644,0.9311926605504587,0.8851415476493599,,
200,3,sqrt,0.9517135218342381,0.9232531500572738,0.9029293642434694,,
201,3,sqrt,0.9516903739540051,0.9484536082474226,0.903612226710339,,
202,3,sqrt,0.9529403594865801,0.9358533791523482,0.9056260922905985,,
203,3,sqrt,0.9526857328040185,0.9335624284077892,0.9039362970335991,,
204,3,sqrt,0.9522112012592446,0.9484536082474226,0.9045844376801194,,
205,3,sqrt,0.9526162891633199,0.9358533791523482,0.9067834863022419,,
206,3,sqrt,0.9518871309359845,0.9507445589919816,0.9027326072614901,,
207,3,sqrt,0.9529056376662307,0.9495990836197021,0.9055450747097834,,
208,3,sqrt,0.9517945394150531,0.9301260022909508,0.9037163921713869,,
209,3,sqrt,0.9526162891633199,0.9392898052691867,0.9063205286975845,,
210,3,sqrt,0.9523848103609912,0.9369988545246277,0.9028367727225379,,
211,3,sqrt,0.9529519334266965,0.9450171821305842,0.9052094304464069,,
212,3,sqrt,0.9525236976423884,0.9518900343642611,0.9050126734644275,,
213,3,sqrt,0.951898704876101,0.9381443298969072,0.9053135959074547,,
214,3,sqrt,0.9522574970197104,0.9392898052691867,0.9040173146144141,,
215,3,sqrt,0.9518524091156353,0.9461626575028637,0.9032997303271952,,
216,3,sqrt,0.952245923079594,0.9473081328751431,0.9045612897998866,,
217,3,sqrt,0.9520954618580804,0.9438717067583047,0.9053135959074547,,
218,3,sqrt,0.9524889758220391,0.9358533791523482,0.9060196062545572,,
219,3,sqrt,0.9521533315586626,0.9381443298969072,0.9052557262068726,,
220,3,sqrt,0.9524426800615734,0.9186712485681557,0.9032302866864966,,
221,3,sqrt,0.9522922188400598,0.9461626575028637,0.9046191595004688,,
222,3,sqrt,0.952245923079594,0.9530355097365406,0.9045034200993044,,
223,3,sqrt,0.9523153667202926,0.9461626575028637,0.9039247230934827,,
224,3,sqrt,0.9515051909121423,0.9427262313860252,0.9053483177278041,,
225,3,sqrt,0.9526510109836692,0.9221076746849943,0.9040173146144141,,
226,3,sqrt,0.9518061133551695,0.9335624284077892,0.9054872050092013,,
227,3,sqrt,0.9512158424092314,0.9564719358533792,0.9024201108783463,,
228,3,sqrt,0.9516903739540051,0.9278350515463918,0.9031029733452159,,
229,3,sqrt,0.9524774018819226,0.9347079037800687,0.9055103528894342,,
230,3,sqrt,0.9524774018819226,0.9495990836197021,0.9052210043865233,,
231,3,sqrt,0.9522922188400598,0.9518900343642611,0.9037279661115033,,
232,3,sqrt,0.9526278631034363,0.9461626575028637,0.9038089836923183,,
233,3,sqrt,0.9527551764447171,0.9507445589919816,0.9043761067580236,,
234,3,sqrt,0.951898704876101,0.9484536082474226,0.902917790303353,,
235,3,sqrt,0.9524195321813405,0.9347079037800687,0.9054987789493177,,
236,3,sqrt,0.9520260182173818,0.9461626575028637,0.9056260922905985,,
237,3,sqrt,0.9526394370435527,0.9415807560137457,0.9041909237161607,,
238,3,sqrt,0.9527088806842513,0.9495990836197021,0.9055566486498999,,
239,3,sqrt,0.9521996273191282,0.9427262313860252,0.9057302577516464,,
240,3,sqrt,0.9527088806842513,0.9369988545246277,0.9037742618719691,,
241,3,sqrt,0.9524774018819226,0.9289805269186713,0.903183990926031,,
242,3,sqrt,0.9519334266964503,0.9530355097365406,0.9039594449138321,,
243,3,sqrt,0.9522690709598268,0.9358533791523482,0.9037511139917362,,
244,3,sqrt,0.9528477679656485,0.9484536082474226,0.9050358213446603,,
245,3,sqrt,0.9524542540016898,0.9381443298969072,0.9051631346859411,,
246,3,sqrt,0.9527551764447171,0.9450171821305842,0.9039594449138321,,
247,3,sqrt,0.9524542540016898,0.9358533791523482,0.9051631346859411,,
248,3,sqrt,0.9524195321813405,0.9564719358533792,0.9069802432842212,,
249,3,sqrt,0.9534264649714702,0.9507445589919816,0.9047117510214002,,
250,3,sqrt,0.9529403594865801,0.9473081328751431,0.9046886031411674,,
251,3,sqrt,0.9530445249476279,0.9312714776632303,0.905452483188852,,
252,3,sqrt,0.953206560109258,0.9473081328751431,0.9043182370574414,,
253,3,sqrt,0.9519681485167996,0.9392898052691867,0.9045844376801194,,
254,3,sqrt,0.9517945394150531,0.9461626575028637,0.9014710477887987,,
255,3,sqrt,0.9514820430319093,0.9392898052691867,0.9040288885545307,,
256,3,sqrt,0.9527088806842513,0.9427262313860252,0.9041330540155785,,
257,3,sqrt,0.9524542540016898,0.9530355097365406,0.9050242474045439,,
258,3,sqrt,0.9523037927801762,0.9415807560137457,0.9058922929132764,,
259,3,sqrt,0.9526047152232034,0.9518900343642611,0.9038321315725513,,
260,3,sqrt,0.9519912963970324,0.9484536082474226,0.9055219268295506,,
261,3,sqrt,0.9509727896667862,0.9473081328751431,0.9044455503987222,,
262,3,sqrt,0.951898704876101,0.9427262313860252,0.9033228782074282,,
263,3,sqrt,0.9517945394150531,0.9404352806414662,0.9045265679795372,,
264,3,sqrt,0.9527320285644842,0.9461626575028637,0.9050126734644275,,
265,3,sqrt,0.9522922188400598,0.9312714776632303,0.9050473952847768,,
266,3,sqrt,0.9531139685883265,0.9415807560137457,0.9041562018958114,,
267,3,sqrt,0.9527204546243677,0.9347079037800687,0.9054872050092013,,
268,3,sqrt,0.953206560109258,0.9324169530355098,0.9053251698475712,,
269,3,sqrt,0.9510538072476012,0.9312714776632303,0.9038205576324349,,
270,3,sqrt,0.9519450006365667,0.9358533791523482,0.9029756600039351,,
271,3,sqrt,0.9526973067441349,0.9473081328751431,0.9045149940394208,,
272,3,sqrt,0.9529866552470457,0.9438717067583047,0.9048622122429139,,
273,3,sqrt,0.9515746345528409,0.9461626575028637,0.9032534345667296,,
274,3,sqrt,0.9518298187541955,0.9311926605504587,0.9038216707946576,,
275,3,sqrt,0.9523043448068331,0.9541284403669725,0.9050369204416564,,
276,3,sqrt,0.9521191639082429,0.9529816513761468,0.903323997129696,,
277,3,sqrt,0.9520960162959191,0.9552752293577982,0.9037175065392005,,
278,3,sqrt,0.9520149996527858,0.944954128440367,0.9046434110321521,,
279,3,sqrt,0.9521770329390523,0.9426605504587156,0.9045508205828569,,
280,3,sqrt,0.9523043448068331,0.9357798165137615,0.9051063632786278,,
281,3,sqrt,0.9520265734589477,0.930045871559633,0.9030462257818106,,
282,3,sqrt,0.9521191639082429,0.9288990825688074,0.9028378972708965,,
283,3,sqrt,0.9526747066040138,0.930045871559633,0.9051295108909516,,
